video_name,label
_dI--eQ6qVU_1,2
_dI--eQ6qVU_2,3
_dI--eQ6qVU_3,0
_dI--eQ6qVU_4,3
_dI--eQ6qVU_5,3
_dI--eQ6qVU_6,3
_dI--eQ6qVU_7,2
_dI--eQ6qVU_8,3
_dI--eQ6qVU_9,1
_dI--eQ6qVU_10,1
_dI--eQ6qVU_11,0
_dI--eQ6qVU_12,3
_dI--eQ6qVU_13,3
_dI--eQ6qVU_14,2
_dI--eQ6qVU_15,2
_dI--eQ6qVU_16,1
_dI--eQ6qVU_17,0
_dI--eQ6qVU_18,1
_dI--eQ6qVU_19,1
_dI--eQ6qVU_20,0
_dI--eQ6qVU_21,2
_dI--eQ6qVU_22,2
_dI--eQ6qVU_23,0
_dI--eQ6qVU_24,1
_dI--eQ6qVU_25,3
_dI--eQ6qVU_26,-1
_dI--eQ6qVU_27,0
_dI--eQ6qVU_28,0
0h-zjBukYpk_1,0
0h-zjBukYpk_2,-3
0h-zjBukYpk_3,0
0h-zjBukYpk_4,-1
0h-zjBukYpk_5,1
0h-zjBukYpk_6,-1
0h-zjBukYpk_7,2
0h-zjBukYpk_8,1
0h-zjBukYpk_9,-1
0h-zjBukYpk_10,-1
0h-zjBukYpk_11,0
0h-zjBukYpk_12,-1
0h-zjBukYpk_13,1
0h-zjBukYpk_14,1
0h-zjBukYpk_15,0
0h-zjBukYpk_16,1
0h-zjBukYpk_17,0
0h-zjBukYpk_18,-2
0h-zjBukYpk_19,0
0h-zjBukYpk_20,1
0h-zjBukYpk_21,2
0h-zjBukYpk_22,2
0h-zjBukYpk_23,3
0h-zjBukYpk_24,3
0h-zjBukYpk_25,2
1DmNV9C1hbY_1,-2
1DmNV9C1hbY_2,2
1DmNV9C1hbY_3,1
1DmNV9C1hbY_4,2
1DmNV9C1hbY_5,-2
1DmNV9C1hbY_6,-2
1DmNV9C1hbY_7,-2
1DmNV9C1hbY_8,-2
1DmNV9C1hbY_9,2
1DmNV9C1hbY_10,3
1DmNV9C1hbY_11,-2
1DmNV9C1hbY_12,0
1DmNV9C1hbY_13,-1
1DmNV9C1hbY_14,-2
1iG0909rllw_1,0
1iG0909rllw_2,-2
1iG0909rllw_3,2
1iG0909rllw_4,-1
1iG0909rllw_5,2
1iG0909rllw_6,2
1iG0909rllw_7,-1
1iG0909rllw_8,-2
1iG0909rllw_9,0
1iG0909rllw_10,1
1iG0909rllw_11,2
1iG0909rllw_12,2
1iG0909rllw_13,1
1iG0909rllw_14,0
1iG0909rllw_15,-1
1iG0909rllw_16,-1
1iG0909rllw_17,-1
1iG0909rllw_18,-2
1iG0909rllw_19,-1
1iG0909rllw_20,0
1iG0909rllw_21,0
1iG0909rllw_22,0
1iG0909rllw_23,2
1iG0909rllw_24,-1
1iG0909rllw_25,2
1iG0909rllw_26,-1
1iG0909rllw_27,2
1iG0909rllw_28,1
1iG0909rllw_29,-1
1iG0909rllw_30,-2
2iD-tVS8NPw_1,0
2iD-tVS8NPw_2,2
2iD-tVS8NPw_3,1
2iD-tVS8NPw_4,2
2iD-tVS8NPw_5,2
2iD-tVS8NPw_6,2
2iD-tVS8NPw_7,2
2iD-tVS8NPw_8,2
2iD-tVS8NPw_9,1
2iD-tVS8NPw_10,2
2iD-tVS8NPw_11,0
2iD-tVS8NPw_12,1
2iD-tVS8NPw_13,2
2iD-tVS8NPw_14,-1
2iD-tVS8NPw_15,-2
2iD-tVS8NPw_16,-2
2iD-tVS8NPw_17,-1
2iD-tVS8NPw_18,0
2iD-tVS8NPw_19,0
2iD-tVS8NPw_20,1
2iD-tVS8NPw_21,1
2iD-tVS8NPw_22,2
2iD-tVS8NPw_23,0
2iD-tVS8NPw_24,-1
2iD-tVS8NPw_25,-1
2iD-tVS8NPw_26,0
2iD-tVS8NPw_27,1
2iD-tVS8NPw_28,2
2iD-tVS8NPw_29,2
2iD-tVS8NPw_30,0
2WGyTLYerpo_1,2
2WGyTLYerpo_2,0
2WGyTLYerpo_3,0
2WGyTLYerpo_4,0
2WGyTLYerpo_5,0
2WGyTLYerpo_6,2
2WGyTLYerpo_7,2
2WGyTLYerpo_8,2
2WGyTLYerpo_9,0
2WGyTLYerpo_10,1
2WGyTLYerpo_11,2
2WGyTLYerpo_12,1
2WGyTLYerpo_13,2
2WGyTLYerpo_14,0
2WGyTLYerpo_15,0
2WGyTLYerpo_16,2
2WGyTLYerpo_17,3
2WGyTLYerpo_18,2
2WGyTLYerpo_19,1
2WGyTLYerpo_20,1
2WGyTLYerpo_21,1
2WGyTLYerpo_22,-1
2WGyTLYerpo_23,0
2WGyTLYerpo_24,2
2WGyTLYerpo_25,2
2WGyTLYerpo_26,2
2WGyTLYerpo_27,2
2WGyTLYerpo_28,2
2WGyTLYerpo_29,1
2WGyTLYerpo_30,0
2WGyTLYerpo_31,2
2WGyTLYerpo_32,2
2WGyTLYerpo_33,1
2WGyTLYerpo_34,1
2WGyTLYerpo_35,2
2WGyTLYerpo_36,1
2WGyTLYerpo_37,1
2WGyTLYerpo_38,1
2WGyTLYerpo_39,-1
2WGyTLYerpo_40,1
2WGyTLYerpo_41,1
2WGyTLYerpo_42,0
2WGyTLYerpo_43,2
2WGyTLYerpo_44,0
2WGyTLYerpo_45,0
2WGyTLYerpo_46,1
2WGyTLYerpo_47,0
2WGyTLYerpo_48,-1
2WGyTLYerpo_49,-1
2WGyTLYerpo_50,-2
2WGyTLYerpo_51,-1
2WGyTLYerpo_52,0
2WGyTLYerpo_53,-1
2WGyTLYerpo_54,-2
2WGyTLYerpo_55,-1
2WGyTLYerpo_56,0
2WGyTLYerpo_57,-2
2WGyTLYerpo_58,-1
2WGyTLYerpo_59,2
2WGyTLYerpo_60,2
2WGyTLYerpo_61,1
2WGyTLYerpo_62,2
2WGyTLYerpo_63,2
03bSnISJMiM_1,2
03bSnISJMiM_2,-1
03bSnISJMiM_3,-1
03bSnISJMiM_4,-2
03bSnISJMiM_5,0
03bSnISJMiM_6,0
03bSnISJMiM_7,1
03bSnISJMiM_8,0
03bSnISJMiM_9,0
03bSnISJMiM_10,-1
03bSnISJMiM_11,0
03bSnISJMiM_12,2
03bSnISJMiM_13,2
5W7Z1C_fDaE_1,2
5W7Z1C_fDaE_2,1
5W7Z1C_fDaE_3,1
5W7Z1C_fDaE_4,0
5W7Z1C_fDaE_5,2
5W7Z1C_fDaE_6,0
5W7Z1C_fDaE_7,2
5W7Z1C_fDaE_8,3
5W7Z1C_fDaE_9,2
5W7Z1C_fDaE_10,0
5W7Z1C_fDaE_11,3
5W7Z1C_fDaE_12,1
5W7Z1C_fDaE_13,3
5W7Z1C_fDaE_14,2
5W7Z1C_fDaE_15,0
5W7Z1C_fDaE_16,-2
5W7Z1C_fDaE_17,0
5W7Z1C_fDaE_18,1
5W7Z1C_fDaE_19,3
5W7Z1C_fDaE_20,3
5W7Z1C_fDaE_21,2
5W7Z1C_fDaE_22,2
5W7Z1C_fDaE_23,2
5W7Z1C_fDaE_24,2
6_0THN4chvY_1,2
6_0THN4chvY_2,1
6_0THN4chvY_3,2
6_0THN4chvY_4,2
6_0THN4chvY_5,0
6_0THN4chvY_6,2
6_0THN4chvY_7,1
6_0THN4chvY_8,2
6_0THN4chvY_9,-1
6_0THN4chvY_10,0
6_0THN4chvY_11,0
6_0THN4chvY_12,2
6_0THN4chvY_13,2
6_0THN4chvY_14,2
6Egk_28TtTM_1,3
6Egk_28TtTM_2,2
6Egk_28TtTM_3,2
6Egk_28TtTM_4,3
6Egk_28TtTM_5,2
6Egk_28TtTM_6,2
6Egk_28TtTM_7,2
6Egk_28TtTM_8,1
6Egk_28TtTM_9,0
6Egk_28TtTM_10,1
6Egk_28TtTM_11,-1
6Egk_28TtTM_12,2
7JsX8y1ysxY_1,2
7JsX8y1ysxY_2,2
7JsX8y1ysxY_3,-3
7JsX8y1ysxY_4,1
7JsX8y1ysxY_5,1
7JsX8y1ysxY_6,2
7JsX8y1ysxY_7,-2
7JsX8y1ysxY_8,-1
7JsX8y1ysxY_9,2
7JsX8y1ysxY_10,2
7JsX8y1ysxY_11,-1
7JsX8y1ysxY_12,1
7JsX8y1ysxY_13,-2
7JsX8y1ysxY_14,-2
7JsX8y1ysxY_15,0
7JsX8y1ysxY_16,2
7JsX8y1ysxY_17,1
7JsX8y1ysxY_18,0
7JsX8y1ysxY_19,0
7JsX8y1ysxY_20,1
7JsX8y1ysxY_21,2
7JsX8y1ysxY_22,3
7JsX8y1ysxY_23,2
7JsX8y1ysxY_24,2
7JsX8y1ysxY_25,3
7JsX8y1ysxY_26,2
7JsX8y1ysxY_27,2
7JsX8y1ysxY_28,-1
7JsX8y1ysxY_29,-2
7JsX8y1ysxY_30,2
7JsX8y1ysxY_31,2
7JsX8y1ysxY_32,1
7JsX8y1ysxY_33,1
7JsX8y1ysxY_34,-1
7JsX8y1ysxY_35,-1
7JsX8y1ysxY_36,-2
7JsX8y1ysxY_37,-2
7JsX8y1ysxY_38,-2
7JsX8y1ysxY_39,2
8d-gEyoeBzc_1,1
8d-gEyoeBzc_2,-1
8d-gEyoeBzc_3,0
8d-gEyoeBzc_4,0
8d-gEyoeBzc_5,-2
8d-gEyoeBzc_6,-2
8d-gEyoeBzc_7,0
8d-gEyoeBzc_8,1
8d-gEyoeBzc_9,1
8d-gEyoeBzc_10,1
8d-gEyoeBzc_11,2
8d-gEyoeBzc_12,2
8d-gEyoeBzc_13,1
8d-gEyoeBzc_14,0
8d-gEyoeBzc_15,1
8d-gEyoeBzc_16,1
8d-gEyoeBzc_17,1
8d-gEyoeBzc_18,1
8d-gEyoeBzc_19,2
8d-gEyoeBzc_20,1
8d-gEyoeBzc_21,-2
8d-gEyoeBzc_22,-1
8d-gEyoeBzc_23,0
8d-gEyoeBzc_24,-1
8d-gEyoeBzc_25,2
8d-gEyoeBzc_26,1
8d-gEyoeBzc_27,-1
8d-gEyoeBzc_28,-1
8d-gEyoeBzc_29,-1
8d-gEyoeBzc_30,-1
8OtFthrtaJM_1,0
8OtFthrtaJM_2,-1
8OtFthrtaJM_3,-2
8OtFthrtaJM_4,-2
8OtFthrtaJM_5,0
8OtFthrtaJM_6,-3
8OtFthrtaJM_7,-1
8OtFthrtaJM_8,0
8OtFthrtaJM_9,0
8OtFthrtaJM_10,1
8OtFthrtaJM_11,0
8OtFthrtaJM_12,-1
8OtFthrtaJM_13,-2
8OtFthrtaJM_14,-1
8OtFthrtaJM_15,0
8OtFthrtaJM_16,1
8OtFthrtaJM_17,1
8OtFthrtaJM_18,1
8OtFthrtaJM_19,-2
8OtFthrtaJM_20,-2
8OtFthrtaJM_21,-2
8OtFthrtaJM_22,2
8OtFthrtaJM_23,-1
8qrpnFRGt2A_1,-1
8qrpnFRGt2A_2,0
8qrpnFRGt2A_3,-2
8qrpnFRGt2A_4,-1
8qrpnFRGt2A_5,-1
8qrpnFRGt2A_6,-3
8qrpnFRGt2A_7,-2
8qrpnFRGt2A_8,-1
8qrpnFRGt2A_9,-1
